,category_name,title,link,author,year,rating,num_of_people,price_in_dollars,years
33,arts_photo,"Peace of Mind Planner: Important Information about My Belongings, Business Affairs, and Wishes  ",https://www.amazon.com/Peace-Mind-Planner-Information-Belongings/dp/1441317295/ref=sr_1_34?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893357&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-34,Peter Pauper Press Inc,2014-11-03,4.6,7144,13.07,2014
36,arts_photo,Internet Password Book Organizer And Online Shopping Tracker: Two-In-One  ,https://www.amazon.com/Internet-Password-Organizer-Shopping-Tracker/dp/1790361761/ref=sr_1_37?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893357&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-37,Online Shopping Journals,2018-11-26,4.1,28,7.99,2018
37,arts_photo,"Password Log Book: Address Books For Passwords, Password Journal Alphabetical, Login Password Book, Password Organizer Book, Vintage/Aged Cover  ",https://www.amazon.com/Password-Log-Book-Passwords-Alphabetical/dp/1718650698/ref=sr_1_38?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893357&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-38,Rogue Plus Publishing,2018-05-02,4.3,490,5.99,2018
41,arts_photo,Christmas Planner: Christmas Shopping & Online Orders Tracker Notebook with Wish List & Holiday Menu Planner  ,https://www.amazon.com/Christmas-Planner-Shopping-Tracker-Notebook/dp/1688369988/ref=sr_1_42?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893357&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-42,Sophia Alvarado,2019-08-24,4.0,1,6.99,2019
51,arts_photo,Shit I Can't Remember Password Logbook: Alphabetical Password Log Book and Internet Password Organizer Keeper Journal Notebook  ,https://www.amazon.com/Shit-Cant-Remember-Password-Logbook/dp/1077402910/ref=sr_1_52?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893748&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-52,Smitten Passwords,2019-07-01,4.6,323,5.99,2019
64,arts_photo,"Thrift Store Reselling Secrets You Wish You Knew: 50 Different Items You Can Buy At Thrift Stores And Sell On eBay And Amazon For Huge Profit ... Store Items, Selling Online, Thrifting)  ",https://www.amazon.com/Thrift-Store-Reselling-Secrets-Wish/dp/1790832756/ref=sr_1_65?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893748&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-65,Rick Rile,2018-12-06,4.1,338,9.95,2018
65,arts_photo,"Thrift Store Reselling Secrets You Wish You Knew: 50 Different Items You Can Buy At Thrift Stores And Sell On eBay And Amazon For Huge Profit (Reseller ... Items, Selling Online, Thrifting Book 1)  ",https://www.amazon.com/Thrift-Store-Reselling-Secrets-Wish-ebook/dp/B00U4HXQV4/ref=sr_1_63?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894386&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-63,Rick Rile,2015-02-28,4.1,338,0.0,2015
73,arts_photo,Consumerology: The Truth about Consumers and the Psychology of Shopping  ,https://www.amazon.com/Consumerology-Truth-Consumers-Psychology-Shopping/dp/1857885767/ref=sr_1_200?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894457&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-200,Philip Graves,2013-01-24,4.3,29,19.95,2013
74,arts_photo,"Smile, Sisters, and Guts: The Box Set  ",https://www.amazon.com/Smile-Sisters-Guts-Box-Set/dp/1338599453/ref=sr_1_201?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894457&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-201,Raina Telgemeier,2019-11-05,4.8,2431,22.98,2019
81,arts_photo,Sunday Shopping  ,https://www.amazon.com/Sunday-Shopping-Sally-Derby/dp/1620148331/ref=sr_1_208?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894457&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-208,Sally Derby and Shadra Strickland,2019-02-12,4.4,16,10.95,2019
